Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"雑踏、僕らの街","トゲナシトゲアリ","雑踏、僕らの街 - Single","Favorite Songs","Playlist","JPPO02400704","1737842246"
"グッバイ宣言","Chinozo","グッバイ宣言 - Single","Favorite Songs","Playlist","TCJPL2011322","1509768887"
"キングスレイヤー (Self Cover Ver.)","マイキP","キングスレイヤー (Self Cover Ver.) - Single","Favorite Songs","Playlist","TCJPX2369235","1710875985"
"Arghena","Laur & Feryquitous","Arghena - Single","Favorite Songs","Playlist","TCJPX2361259","1709764044"
"Arcahv","Feryquitous","Arcahv - Single","Favorite Songs","Playlist","TCJPM2006929","1523598795"
"Pentiment (feat. Museo)","Nothing But Requiem","Pentiment (feat. Museo) - Single","Favorite Songs","Playlist","JPI962200023","1631327327"
"Magenta Potion","EmoCosine","Magenta Potion - Single","Favorite Songs","Playlist","QM42K2037662","1504818290"
"Le Porteur d'Ombre (feat. AKA)","黒皇帝","Le Porteur d'Ombre (feat. AKA) - Single","Favorite Songs","Playlist","SE6SA2374025","1695883326"
"innocence","Wisp X","aer","Favorite Songs","Playlist","QZHN82248247","1622302662"
"Glass Heart","Wisp X","Glass Heart - Single","Favorite Songs","Playlist","SE5VF1801545","1447559313"
"Bones","Low Roar","Once In A Long, Long While...","Favorite Songs","Playlist","QM5L61700002","1221935830"
"One Last Kiss","宇多田ヒカル","One Last Kiss","Favorite Songs","Playlist","JPU902003218","1542953977"
"Styx Helix","MYTH & ROID","TVアニメ「Re:ゼロから始める異世界生活」エンディングテーマ「STYX HELIX」 - EP","Favorite Songs","Playlist","JPD731600476","1112374651"
"Don't Be So Serious","Low Roar","Once in a Long, Long While...","Favorite Songs","Playlist","QM5L61700001","1641207326"
"想いでの金平糖","黒魔 (Chroma)","愛を喜ぶ街","Favorite Songs","Playlist","JPS801912236","1459336913"
"明日ハレの日ケの昨日","交響アクティブNEETs","東方フィルハーモニー交響楽団6 風 第一幕","Favorite Songs","Playlist","JPW562104260","1598048379"
"フォールオブフォール","交響アクティブNEETs","東方フィルハーモニー交響楽団6 風 第一幕","Favorite Songs","Playlist","JPW562104257","1598048376"
"僕があなたの鐘になる","黒魔 (Chroma)","愛を喜ぶ街","Favorite Songs","Playlist","JPS801912232","1459336909"
"芥川龍之介の河童","交響アクティブNEETs","東方フィルハーモニー交響楽団6 風 第一幕","Favorite Songs","Playlist","JPW562104256","1598048135"
"神々が恋した幻想郷","交響アクティブNEETs","東方フィルハーモニー交響楽団7 風 第二幕","Favorite Songs","Playlist","JPW562104264","1598048495"
"運命のダークサイド","交響アクティブNEETs","東方フィルハーモニー交響楽団7 風 第二幕","Favorite Songs","Playlist","JPW562104263","1598048494"
"封印されし神々","交響アクティブNEETs","東方フィルハーモニー交響楽団7 風 第二幕","Favorite Songs","Playlist","JPW562104261","1598048490"
"the EmpErroR","sasakure.UK","the EmpErroR - Single","Favorite Songs","Playlist","TCJPQ2287511","1607608085"
"ÅMARA (大未来電脳)","sasakure.UK","ÅMARA (大未来電脳) - Single","Favorite Songs","Playlist","TCJPT2236164","1649865480"
